"국가(대륙)별","상품군별","판매유형별",2021.4/4,2022.1/4 p)
"기타","컴퓨터 및 주변기기","계",1556,1603
"기타","컴퓨터 및 주변기기","면세점",0,0
"기타","컴퓨터 및 주변기기","면세점 이외",1556,1603
"기타","가전·전자·통신기기","계",137,74
"기타","가전·전자·통신기기","면세점",8,0
"기타","가전·전자·통신기기","면세점 이외",129,74
"기타","소프트웨어","계",1,0
"기타","소프트웨어","면세점",0,0
"기타","소프트웨어","면세점 이외",1,0
"기타","서 적","계",723,631
"기타","서 적","면세점",0,0
"기타","서 적","면세점 이외",723,631
"기타","사무·문구","계",39,46
"기타","사무·문구","면세점",0,0
"기타","사무·문구","면세점 이외",39,46
"기타","음반·비디오·악기","계",3186,1600
"기타","음반·비디오·악기","면세점",0,0
"기타","음반·비디오·악기","면세점 이외",3186,1600
"기타","의류 및 패션 관련상품","계",2068,2139
"기타","의류 및 패션 관련상품","면세점",79,116
"기타","의류 및 패션 관련상품","면세점 이외",1989,2023
"기타","스포츠·레저용품","계",241,179
"기타","스포츠·레저용품","면세점",0,0
"기타","스포츠·레저용품","면세점 이외",241,179
"기타","화장품","계",4530,2408
"기타","화장품","면세점",2990,996
"기타","화장품","면세점 이외",1540,1412
"기타","아동·유아용품","계",750,1203
"기타","아동·유아용품","면세점",0,0
"기타","아동·유아용품","면세점 이외",750,1203
"기타","음·식료품","계",41,177
"기타","음·식료품","면세점",12,19
"기타","음·식료품","면세점 이외",29,158
"기타","농축수산물","계",0,10
"기타","농축수산물","면세점",0,0
"기타","농축수산물","면세점 이외",0,10
"기타","생활용품 및 자동차용품","계",1081,267
"기타","생활용품 및 자동차용품","면세점",0,0
"기타","생활용품 및 자동차용품","면세점 이외",1081,267
"기타","기 타","계",1076,2309
"기타","기 타","면세점",0,0
"기타","기 타","면세점 이외",1076,2309
